symbol_anonymised,sector
0,Financial Services
1,Technology
2,Communication Services
3,Communication Services
4,Consumer Cyclical
5,Consumer Cyclical
6,Technology
7,Communication Services
8,Technology
9,Energy
10,Consumer Cyclical
11,Financial Services
12,Financial Services
13,Energy
14,Financial Services
15,Financial Services
16,Energy
17,Financial Services
18,Utilities
19,Financial Services
20,Financial Services
21,Technology
22,Financial Services
23,Financial Services
24,Technology
25,Financial Services
26,Financial Services
27,Financial Services
28,Technology
29,Financial Services
30,Financial Services
31,Consumer Cyclical
32,Technology
33,Financial Services
34,Financial Services
35,Communication Services
36,Financial Services
37,Financial Services
38,Financial Services
39,Technology
40,Financial Services
41,Financial Services
42,Industrials
43,Technology
44,Technology
45,Communication Services
46,Financial Services
47,Consumer Cyclical
48,Financial Services
49,Financial Services
50,Financial Services
51,Communication Services
52,Technology
53,Technology
54,Financial Services
55,Energy
56,Industrials
57,Industrials
58,Technology
59,Industrials
60,Industrials
61,Industrials
62,Industrials
63,Consumer Defensive
64,Financial Services
65,Industrials
66,Consumer Cyclical
67,Financial Services
68,Real Estate
69,Industrials
70,Consumer Defensive
71,Financial Services
72,Financial Services
73,Financial Services
74,Industrials
75,Financial Services
76,Financial Services
77,Technology
78,Consumer Cyclical
79,Industrials
80,Technology
81,Industrials
82,Consumer Cyclical
83,Energy
84,Industrials
85,Industrials
86,Financial Services
87,Financial Services
88,Consumer Cyclical
89,Consumer Cyclical
90,Healthcare
91,Energy
92,Consumer Cyclical
93,Financial Services
94,Financial Services
95,Financial Services
96,Consumer Defensive
97,
98,Financial Services
99,
100,
101,Financial Services
102,Financial Services
103,Technology
104,Energy
105,Financial Services
106,Consumer Cyclical
107,Financial Services
108,Industrials
109,Financial Services
110,Energy
111,Industrials
112,Financial Services
113,Technology
114,Healthcare
115,Financial Services
116,Financial Services
117,Financial Services
118,Financial Services
119,Financial Services
120,Financial Services
121,Energy
122,Technology
123,Financial Services
124,Financial Services
125,Financial Services
126,Financial Services
127,Financial Services
128,Industrials
129,Financial Services
130,Financial Services
131,Energy
132,Industrials
133,Basic Materials
134,Financial Services
135,Technology
136,Financial Services
137,Financial Services
138,Basic Materials
139,Consumer Cyclical
140,Financial Services
141,Energy
142,Financial Services
143,Basic Materials
144,Industrials
145,Technology
146,Consumer Cyclical
147,Financial Services
148,Communication Services
149,Technology
150,Financial Services
151,Energy
152,Technology
153,Financial Services
154,Healthcare
155,Financial Services
156,Financial Services
157,Financial Services
158,Technology
159,Consumer Cyclical
160,Technology
161,Industrials
162,Energy
163,Industrials
164,Financial Services
165,Consumer Cyclical
166,Financial Services
167,Energy
168,Real Estate
169,Energy
170,Technology
171,Energy
172,Financial Services
173,Industrials
174,Technology
175,Basic Materials
176,Energy
177,Basic Materials
178,Technology
179,Healthcare
180,Financial Services
181,Technology
182,Technology
183,Energy
184,Financial Services
185,Consumer Cyclical
186,Real Estate
187,Industrials
188,Energy
189,Industrials
190,Technology
191,Basic Materials
192,Industrials
193,Industrials
194,Technology
195,Financial Services
196,Industrials
197,Financial Services
198,Financial Services
199,Financial Services
200,Technology
201,Financial Services
202,Energy
203,Financial Services
204,Technology
205,Financial Services
206,Financial Services
207,Healthcare
208,Financial Services
209,Financial Services
210,Financial Services
211,Industrials
212,Financial Services
213,Consumer Cyclical
214,Financial Services
215,Technology
216,Consumer Defensive
217,Basic Materials
218,Healthcare
219,Technology
220,Energy
221,Healthcare
222,Consumer Cyclical
223,Energy
224,Energy
225,Industrials
226,Consumer Cyclical
227,Industrials
228,Consumer Defensive
229,Energy
230,Technology
231,Communication Services
232,Financial Services
233,Utilities
234,Energy
235,Energy
236,Real Estate
237,Consumer Cyclical
238,Financial Services
239,Industrials
240,Financial Services
241,Financial Services
242,Consumer Cyclical
243,Energy
244,Industrials
245,Healthcare
246,Energy
247,Financial Services
248,Industrials
249,Financial Services
250,Financial Services
251,Real Estate
252,Basic Materials
253,Technology
