,symbol,symbol_anonym,sector
0,BAC-PL,0,Financial Services
1,AAPL,1,Technology
2,GOOG,2,Communication Services
3,GOOGL,3,Communication Services
4,AMZN,4,Consumer Cyclical
5,TSLA,5,Consumer Cyclical
6,NVDA,6,Technology
7,META,7,Communication Services
8,TSM,8,Technology
9,XOM,9,Energy
10,MC.PA,10,Consumer Cyclical
11,JPM,11,Financial Services
12,MA,12,Financial Services
13,CHTEX.BR,13,Energy
14,JPM-PC,14,Financial Services
15,JPM-PD,15,Financial Services
16,CVX,16,Energy
17,BML-PG,17,Financial Services
18,PCGU,18,Utilities
19,BML-PH,19,Financial Services
20,BAC,20,Financial Services
21,AVGO,21,Technology
22,BML-PL,22,Financial Services
23,BAC-PE,23,Financial Services
24,ASML,24,Technology
25,BAC-PB,25,Financial Services
26,BML-PJ,26,Financial Services
27,BAC-PK,27,Financial Services
28,ORCL,28,Technology
29,WFC-PQ,29,Financial Services
30,WFC-PY,30,Financial Services
31,NKE,31,Consumer Cyclical
32,CRM,32,Technology
33,BAC-PM,33,Financial Services
34,WFC-PR,34,Financial Services
35,DIS,35,Communication Services
36,WFC-PL,36,Financial Services
37,WFC,37,Financial Services
38,BAC-PN,38,Financial Services
39,ACN,39,Technology
40,MS,40,Financial Services
41,BAC-PS,41,Financial Services
42,UPS,42,Industrials
43,TXN,43,Technology
44,ADBE,44,Technology
45,CMCSA,45,Communication Services
46,BAC-PO,46,Financial Services
47,CDI.PA,47,Consumer Cyclical
48,BAC-PQ,48,Financial Services
49,BAC-PP,49,Financial Services
50,C-PJ,50,Financial Services
51,NFLX,51,Communication Services
52,QCOM,52,Technology
53,SAP,53,Technology
54,AXP,54,Financial Services
55,COP,55,Energy
56,CAT,56,Industrials
57,HON,57,Industrials
58,AMD,58,Technology
59,BA,59,Industrials
60,UNP,60,Industrials
61,DE,61,Industrials
62,BOEI.BR,62,Industrials
63,BUD,63,Consumer Defensive
64,WFC-PC,64,Financial Services
65,CATR.PA,65,Industrials
66,LOW,66,Consumer Cyclical
67,GS,67,Financial Services
68,PLD,68,Real Estate
69,SIA.BR,69,Industrials
70,ABI.BR,70,Consumer Defensive
71,SPGI,71,Financial Services
72,BX,72,Financial Services
73,BLK,73,Financial Services
74,GET&D.NS,74,Industrials
75,BPAC3.SA,75,Financial Services
76,C,76,Financial Services
77,AMAT,77,Technology
78,BKNG,78,Consumer Cyclical
79,AIR.PA,79,Industrials
80,ADI,80,Technology
81,GE,81,Industrials
82,ITX.MC,82,Consumer Cyclical
83,CNQ.TO,83,Energy
